"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ibnlive: I look forward to seeing you (PM Enda Kenny) in India: PM Modi #ModiInIreland http://t.co/b2rMLTYuuW",FALSE,0,NA,2015-09-23 17:32:31,FALSE,NA,"646738930356912128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ayyappashantha3",3,TRUE,FALSE,NA,NA
"RT @AbhiRgyb: Modi says he is bringing foreign investment to India, however During UPA FDI inflow was 40%which slowed down to25%in last yr …",FALSE,0,NA,2015-09-23 17:32:31,FALSE,NA,"646738929878724608",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","kushal__15",6,TRUE,FALSE,NA,NA
"RT @vinaydokania: NRIs in USA hv planned2 ""UnWelcome"" Modi's US Visit&amp; Launch protest marchs during his Visit #NRIsRejectModi",FALSE,0,NA,2015-09-23 17:32:31,FALSE,NA,"646738929849376772",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FalakThakkarr",10,TRUE,FALSE,NA,NA
"RT @vinaydokania: NRIs in USA hv planned2 ""UnWelcome"" Modi's US Visit&amp; Launch protest marchs during his Visit #NRIsRejectModi",FALSE,0,NA,2015-09-23 17:32:31,FALSE,NA,"646738929777967104",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TheAditiShah",10,TRUE,FALSE,NA,NA
"@dfatirl @narendramodi @campaignforleo @CharlieFlanagan @IrlEmbIndia good going modi Ji",FALSE,0,"dfatirl",2015-09-23 17:32:31,FALSE,"646627077102419968","646738929065041920","364198635","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adiraj944",0,FALSE,FALSE,NA,NA
"RT @rupasubramanya: Is this true? I know in 2005 acc to Wikileaks, UPA govt requested Modi visa ban be lifted but US decided not to. https:…",FALSE,0,NA,2015-09-23 17:32:31,FALSE,NA,"646738928939106304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kassamjat",24,TRUE,FALSE,NA,NA
"RT @ndtv: PM Modi is a very well informed, practical person. Didn't hold any grudges towards the US for denying visa: Jagdish Bhagwati #Bha…",FALSE,0,NA,2015-09-23 17:32:31,FALSE,NA,"646738928855203841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dk12bm",108,TRUE,FALSE,NA,NA
"RT @LaraibNeyazi: It seems Sanskrit is promoted in Ireland only after Modi became PM. PM's #Shameful remark again #ModiInsultsIndia ! http:…",FALSE,0,NA,2015-09-23 17:32:30,FALSE,NA,"646738926145679360",NA,"<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon (Classic)</a>","mkotadiya",4,TRUE,FALSE,NA,NA
"RT @FalakThakkarr: Modi’s “Dangerous Silence” over dramatic rise in religious violence under his tenure NY Times #NRIsRejectModi http://t.c…",FALSE,0,NA,2015-09-23 17:32:29,FALSE,NA,"646738923570335744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hemrajsinhvagh1",4,TRUE,FALSE,NA,NA
"RT @TOIIndiaNews: Irish children recite shlokas and Modi’s Dublin event, PM takes dig at secularists http://t.co/RpdVTgHpvn",FALSE,0,NA,2015-09-23 17:32:29,FALSE,NA,"646738920537915392",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","T_Jakhar",9,TRUE,FALSE,NA,NA
"RT @rajabhaiyaa: Modi has proved himself as selfie addicted in his foreign tours.instead of talk on serious issues hes busy in photo shoots…",FALSE,0,NA,2015-09-23 17:32:29,FALSE,NA,"646738920533680128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","urmylifesana",4,TRUE,FALSE,NA,NA
"RT @ANI_news: Irish children are singing welcome songs in Sanskrit. I congratulate their teachers-PM Modi #ModiInIreland",FALSE,0,NA,2015-09-23 17:32:28,FALSE,NA,"646738918549815296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sanjeev061970",149,TRUE,FALSE,NA,NA
"""Happiness"" by @anilmodi on @LinkedIn https://t.co/XFU6q8b7bV",FALSE,0,NA,2015-09-23 17:32:28,FALSE,NA,"646738918189076480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jobinindia",0,FALSE,FALSE,NA,NA
"Irish children recite shlokas and Modi’s Dublin event, PM takes dig at secularists: With Irish children welcom... http://t.co/GOSLKu7pfl",FALSE,0,NA,2015-09-23 17:32:28,FALSE,NA,"646738917782257664",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","dlIndianews",0,FALSE,FALSE,NA,NA
"PM Modi connects with Indian diaspora in Ireland, promises more visits: Prime Minister Narendra Modi on Wednes... http://t.co/Qb8enasitf",FALSE,0,NA,2015-09-23 17:32:28,FALSE,NA,"646738915982995457",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","dlIndianews",0,FALSE,FALSE,NA,NA
"RT @Babu_Bhaiyaa: Respected Barkha Dutt ji in US to cover Modi's visit...It reminds me of this tweet...
https://t.co/ewiiQr40w1",FALSE,0,NA,2015-09-23 17:32:27,FALSE,NA,"646738912677724161",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ugramveeram123",62,TRUE,FALSE,NA,NA
"RT @Alok_Pal: Bhakts gets itch in their ass hearing Rajdeep Sardesai's name because he is the one who has slapped modi with his qstns. #Raj…",FALSE,0,NA,2015-09-23 17:32:26,FALSE,NA,"646738911432196097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","office0ffRG",9,TRUE,FALSE,NA,NA
